ID,Campaign Content - Content → Campaign ID,Campaign Campaign - Campaign → Advertiser ID,Media App Media - Media → Publisher ID
2767759,37391,93786,71795
2767754,37391,93786,48669
2767741,37391,93786,15969
2767885,37391,93786,42332
2767747,37391,93786,93324
2767882,37391,93786,54882
2767861,37391,93786,63723
2767863,37391,93786,63723
2767768,37391,93786,52584
2767862,37391,93786,67925
2767818,37391,93786,54668
2767819,37391,93786,28960
2767868,37391,93786,58635
2767846,37391,93786,44417
2767891,37391,93786,36794
2767850,37391,93786,20836
2767836,37391,93786,22369
2767797,37391,93786,7869
2767847,37391,93786,32284
2767773,37391,93786,20836
2767767,37391,93786,29067
2767758,37391,93786,26044
2767859,37391,93786,30892
2767736,37391,93786,71795
2767823,37391,93786,58820
2767883,37391,93786,7890
2767834,37391,93786,60281
2767806,37391,93786,27359
2767830,37391,93786,63477
2767737,37391,93786,58337
2767791,37391,93786,59193
2767794,37391,93786,28055
2767829,37391,93786,57429
2767841,37391,93786,65468
2767775,37391,93786,83814
2767828,37391,93786,32109
2767781,37391,93786,68704
2767738,37391,93786,39159
2767739,37391,93786,87687
2767748,37391,93786,30119
2767753,37391,93786,74495
2767743,37391,93786,26052
2767744,37391,93786,245
2767751,37391,93786,48523
2767745,37391,93786,24650
2767750,37391,93786,58443
2767746,37391,93786,55595
2767742,37391,93786,24798
2767757,37391,93786,41978
2767760,37391,93786,29334
2767761,37391,93786,30438
2767763,37391,93786,71795
2767771,37391,93786,30307
2767772,37391,93786,98019
2767765,37391,93786,26052
2767766,37391,93786,26052
2767764,37391,93786,58097
2767756,37391,93786,28920
2767777,37391,93786,9045
2767783,37391,93786,101304
2767787,37391,93786,13403
2767789,37391,93786,70173
2767790,37391,93786,65948
2767795,37391,93786,13355
2767798,37391,93786,22439
2767799,37391,93786,26058
2767800,37391,93786,68627
2767801,37391,93786,29167
2767810,37391,93786,90734
2767792,37391,93786,21140
2767815,37391,93786,13363
2767816,37391,93786,15165
2767774,37391,93786,30238
2767807,37391,93786,26052
2767808,37391,93786,58820
2767780,37391,93786,28907
2767784,37391,93786,21797
2767788,37391,93786,68303
2767813,37391,93786,68688
2767796,37391,93786,59164
2767803,37391,93786,20836
2767786,37391,93786,50501
2767805,37391,93786,20962
2767814,37391,93786,54668
2767776,37391,93786,93265
2767778,37391,93786,98910
2767785,37391,93786,11891
2767824,37391,93786,74822
2767826,37391,93786,15986
2767821,37391,93786,63723
2767825,37391,93786,57505
2767827,37391,93786,49793
2767831,37391,93786,9332
2767832,37391,93786,69831
2767837,37391,93786,80208
2767835,37391,93786,59725
2767838,37391,93786,55595
2767839,37391,93786,56133
2767857,37391,93786,30445
2767867,37391,93786,46170
2767871,37391,93786,42489
2767872,37391,93786,63524
2767873,37391,93786,65297
2767877,37391,93786,59966
2767878,37391,93786,29334
2767843,37391,93786,32206
2767848,37391,93786,1867
2767856,37391,93786,67450
2767853,37391,93786,25174
2767869,37391,93786,47523
2767854,37391,93786,192
2767855,37391,93786,41979
2767865,37391,93786,52427
2767876,37391,93786,37379
2767880,37391,93786,48669
2767842,37391,93786,74822
2767852,37391,93786,12091
2767851,37391,93786,36009
2767858,37391,93786,58696
2767874,37391,93786,24699
2767886,37391,93786,15987
2767884,37391,93786,65297
2767881,37391,93786,13363
2767888,37391,93786,30837
2767887,37391,93786,24700
2767897,37391,93786,15969
2767896,37391,93786,100266
2767893,37391,93786,47523
2767895,37391,93786,60281
2767894,37391,93786,35340
2767889,37391,93786,2929
2767890,37391,93786,100266
2767840,37391,93786,100266
2767845,37391,93786,57615
2767809,37391,93786,63723
2767879,37391,93786,26052
2767817,37391,93786,32206
2767820,37391,93786,85553
2767804,37391,93786,1560
2767740,37391,93786,24704
2767749,37391,93786,47622
2767752,37391,93786,83927
2767755,37391,93786,98019
2767762,37391,93786,30441
2767769,37391,93786,26410
2767770,37391,93786,98001
2767779,37391,93786,92488
2767782,37391,93786,61769
2767793,37391,93786,102008
2767802,37391,93786,98019
2767811,37391,93786,24704
2767812,37391,93786,87570
2767822,37391,93786,30837
2767833,37391,93786,98019
2767844,37391,93786,81744
2767849,37391,93786,24660
2767860,37391,93786,99016
2767864,37391,93786,15987
2767866,37391,93786,45765
2767870,37391,93786,25809
2767875,37391,93786,39250
2767892,37391,93786,30837
2839338,39035,92879,12850
2839339,39035,92879,25894
2839337,39035,92879,10721
2839336,39035,92879,80763
2839340,39035,92879,26068
2903943,40616,98864,27411
2903940,40616,98864,37248
2903941,40616,98864,267
2903942,40616,98864,65459
2903944,40616,98864,267
2903945,40616,98864,97329
2966462,42162,54424,42924
2966463,42162,54424,42391
2966459,42162,54424,6751
2966458,42162,54424,13308
2966460,42162,54424,28272
2966454,42162,54424,1848
2966455,42162,54424,1848
2966457,42162,54424,44743
2966461,42162,54424,29643
2966456,42162,54424,10721
2839451,39047,64394,218
2839452,39047,64394,32508
2839453,39047,64394,71987
2796812,38068,92412,98019
2796925,38068,92412,54695
2796953,38068,92412,80959
2796929,38068,92412,31080
2796951,38068,92412,98019
2796870,38068,92412,7022
2796861,38068,92412,55503
2796974,38068,92412,74495
2796971,38068,92412,27772
2796958,38068,92412,15969
2796914,38068,92412,245
2796834,38068,92412,15986
2796873,38068,92412,91830
2796982,38068,92412,63723
2796822,38068,92412,30837
2796900,38068,92412,85088
2796976,38068,92412,59966
2796816,38068,92412,24227
2796829,38068,92412,52427
2796912,38068,92412,13363
2796821,38068,92412,54623
2796969,38068,92412,90935
2796968,38068,92412,67450
2796890,38068,92412,28631
2796962,38068,92412,24660
2796858,38068,92412,41978
2796898,38068,92412,29334
2796882,38068,92412,26052
2796892,38068,92412,87570
2796883,38068,92412,15976
2796827,38068,92412,11213
2796819,38068,92412,26233
2796980,38068,92412,21797
2796952,38068,92412,30307
2796832,38068,92412,54668
2796984,38068,92412,55503
2796899,38068,92412,13031
2796896,38068,92412,24820
2796931,38068,92412,93235
2796846,38068,92412,24075
2796932,38068,92412,30445
2796954,38068,92412,62555
2796837,38068,92412,96228
2796831,38068,92412,55503
2796815,38068,92412,42165
2796881,38068,92412,51688
2796906,38068,92412,19053
2796904,38068,92412,4925
2796986,38068,92412,58820
2796856,38068,92412,73747
2796825,38068,92412,42332
2796928,38068,92412,49793
2796972,38068,92412,28907
2796979,38068,92412,26052
2796923,38068,92412,48523
2796813,38068,92412,65948
2796922,38068,92412,98019
2796907,38068,92412,6363
2796859,38068,92412,57011
2796865,38068,92412,55595
