X_igraph_index,source,target,key
108681,65,302,0
189773,81,208,0
115586,98,1438,0
126757,110,758,0
119378,150,4277,0
109910,156,5062,0
45118,168,7682,0
53651,171,7512,11
147148,204,2436,0
185751,208,2103,0
112221,219,224,0
126667,250,4810,0
136394,263,5637,0
13121,296,6138,0
39002,338,6951,0
131647,341,1698,0
57901,368,6942,1
69919,380,6541,0
135425,390,599,0
131234,408,4151,0
140545,410,599,0
117977,432,612,0
153474,441,3091,0
128466,455,1631,0
54339,467,6088,0
124252,506,3106,0
102005,539,1797,0
112850,552,2870,0
101891,612,1797,0
108950,658,2212,0
125284,670,4995,0
128309,685,1325,0
138293,690,2255,0
55329,717,5815,0
126790,758,5498,0
141518,793,795,0
141290,803,5620,0
32018,860,7677,0
106971,879,5117,0
73415,1015,8254,0
149570,1038,1883,0
96277,1066,6346,1
144925,1075,2533,0
161951,1125,3738,0
70569,1185,5851,0
120438,1197,4975,0
143307,1317,1743,0
53255,1349,6318,0
71612,1380,5966,11
131453,1698,4063,0
131601,1698,2436,0
162569,1730,2436,0
184818,1789,3873,0
159340,1904,2139,0
97345,1933,6998,0
104567,1978,2939,0
159400,1992,3228,0
32132,1997,7438,0
66708,2013,7458,0
99721,2071,7132,2
104374,2087,5426,0
124305,2103,3106,0
176657,2212,3132,0
118705,2285,4547,0
112472,2336,3688,0
23442,2362,6385,0
5664,2480,7033,0
60112,2480,7206,0
64328,2496,6385,0
74458,2552,6385,1
35042,2662,6318,0
178627,2794,2796,0
112774,2870,3223,0
69503,2922,8059,6
82147,3026,7731,0
62641,3053,6318,0
79122,3215,7274,1
111152,3319,3349,0
74650,3375,7033,0
78793,3533,8059,3
44968,3843,7731,2
93424,3853,7277,2
77665,3930,6708,0
23571,4304,6847,0
78451,4435,7277,0
20347,4466,6651,0
13510,4555,6311,0
28815,4748,6385,0
83043,4859,7277,1
4370,4975,7611,0
101385,5011,5966,0
107036,5117,5220,0
39635,5403,6326,0
32324,5488,7033,0
74022,5637,8059,1
49081,5669,6199,0
293646,5725,6385,0
379294,5736,7571,0
533703,5754,7242,0
366207,5792,6962,0
590261,5801,7631,0
360587,5815,6847,0
387936,5821,8598,0
388649,5821,8093,0
485906,5825,7949,0
486532,5825,6587,0
281769,5831,8223,0
442434,5846,7198,0
443151,5846,7119,0
241162,5851,6511,0
241886,5851,6810,0
367226,5854,7592,0
407920,5863,6275,0
787180,5881,6961,0
318163,5882,6655,0
331835,5902,6636,0
712940,5905,7997,0
293599,5909,6385,0
592707,5909,8164,0
248334,5921,7837,0
249531,5921,5966,0
297987,5921,6900,0
353246,5921,8537,0
564036,5932,6847,0
577162,5942,6838,0
250050,5966,8208,0
693955,5973,7285,0
294339,5992,6385,0
923391,5992,7954,0
662885,5995,7949,0
869731,6001,7445,0
519658,6003,7208,0
619177,6008,7682,0
432301,6014,7424,0
206393,6021,6154,0
460110,6039,6961,0
287940,6057,7458,0
277524,6109,7416,0
702710,6146,6150,0
524441,6150,7228,0
618754,6150,7682,0
645763,6150,8523,0
703266,6150,6373,0
454220,6153,6661,0
874405,6153,7920,0
206109,6154,8429,0
382276,6159,8125,0
564448,6170,6847,0
502497,6203,7997,0
201641,6208,6708,0
214465,6232,7033,0
430645,6232,7758,0
260893,6239,6326,0
320966,6257,6651,0
681875,6261,6754,0
280603,6264,6640,0
328299,6274,7997,0
206919,6275,7202,0
407563,6275,7733,0
233054,6283,7053,0
725402,6309,7660,0
527286,6315,6683,0
344760,6318,7913,0
345614,6318,7548,0
626204,6325,7046,0
261049,6326,7758,0
662408,6336,7949,0
273761,6339,7320,0
323070,6340,7271,0
503830,6375,7316,0
293437,6385,7595,0
294330,6385,6744,0
602022,6397,7420,0
537285,6398,7969,0
965603,6398,6574,0
695110,6409,7657,0
713332,6409,7997,0
551282,6426,8523,0
207420,6429,7202,0
385417,6448,7740,0
201743,6471,6708,0
809883,6472,7591,0
872483,6507,6592,0
515829,6517,7682,0
235626,6518,6889,0
657011,6541,7260,0
578269,6557,7242,0
508996,6574,7198,0
630912,6587,8478,0
558956,6592,8223,0
489355,6599,6909,0
315453,6604,7611,0
595089,6610,7274,0
281020,6640,7626,0
320309,6651,7581,0
317631,6655,7070,0
318661,6655,8092,0
654835,6660,7594,0
626777,6662,7046,0
298767,6678,6900,0
660896,6683,7444,0
315337,6685,7611,0
338958,6685,8356,0
553212,6694,6884,0
201452,6708,8636,0
717842,6713,8266,0
704377,6731,7687,0
365126,6732,7484,0
682194,6754,8265,0
316729,6760,7631,0
224356,6767,6984,0
702478,6793,6934,0
279462,6798,8049,0
279479,6798,8576,0
346015,6819,6952,0
276351,6824,7802,0
862289,6824,8677,0
475948,6838,8381,0
508152,6838,7198,0
564501,6847,8542,0
359311,6883,6960,0
271414,6884,7266,0
728403,6884,7199,0
235944,6889,8542,0
509674,6891,7878,0
298502,6900,7606,0
725097,6907,7660,0
488783,6909,7107,0
488916,6909,8266,0
371479,6912,7563,0
446285,6918,7384,0
702258,6934,8345,0
209996,6949,7591,0
231881,6959,7883,0
391218,6960,7279,0
720799,6961,7581,0
366262,6962,7441,0
484951,6972,7571,0
694424,6981,7285,0
224509,6984,8053,0
224550,6984,7347,0
278419,6987,7817,0
848510,7025,7687,0
215021,7033,7998,0
468331,7039,8345,0
626682,7046,7632,0
472789,7060,8011,0
246082,7077,7316,0
600606,7132,8078,0
451197,7150,7206,0
706644,7155,7347,0
498301,7196,7958,0
312003,7198,7777,0
207369,7202,7302,0
451341,7206,7870,0
578722,7242,8929,0
750639,7260,7691,0
792864,7271,7606,0
216618,7273,8757,0
398580,7277,8506,0
730739,7279,8465,0
694539,7285,8571,0
503861,7316,7722,0
722773,7320,7762,0
706711,7347,8276,0
492691,7377,7682,0
239336,7380,7516,0
445512,7384,8315,0
719633,7402,7919,0
225978,7420,8027,0
642913,7424,8734,0
661114,7444,8619,0
870098,7445,8720,0
287522,7458,8453,0
477050,7511,7803,0
717562,7549,8266,0
448048,7569,8125,0
834322,7591,8729,0
438295,7595,8144,0
316339,7611,8585,0
589640,7631,8127,0
695303,7657,7807,0
725251,7660,7672,0
848353,7687,8301,0
196026,7731,8598,0
385249,7740,8244,0
312326,7777,7851,0
361871,7779,7997,0
275783,7802,8155,0
336793,7850,8059,0
698591,7859,8243,0
336683,7920,8059,0
537850,7955,8556,0
941864,8203,8305,0
558824,8223,8233,0
