,name,type,color,_igraph_index,id
0,10064,False,red,27,27
1,10066,False,red,28,28
2,10134,False,red,58,58
3,10154,False,red,65,65
4,10186,False,red,74,74
5,10187,False,red,76,76
6,10242,False,red,81,81
7,10315,False,red,90,90
8,10378,False,red,91,91
9,1048,False,red,97,97
10,1049,False,red,98,98
11,10641,False,red,111,111
12,10732,False,red,115,115
13,10804,False,red,120,120
14,10859,False,red,121,121
15,11021,False,red,131,131
16,11061,False,red,133,133
17,11068,False,red,136,136
18,11131,False,red,144,144
19,11167,False,red,150,150
20,11225,False,red,153,153
21,11277,False,red,155,155
22,11281,False,red,156,156
23,11299,False,red,159,159
24,11300,False,red,160,160
25,11324,False,red,162,162
26,11353,False,red,165,165
27,11422,False,red,170,170
28,11442,False,red,171,171
29,11463,False,red,173,173
30,11527,False,red,176,176
31,11569,False,red,180,180
32,11620,False,red,185,185
33,11628,False,red,186,186
34,11635,False,red,189,189
35,11671,False,red,193,193
36,11694,False,red,194,194
37,11723,False,red,196,196
38,11739,False,red,199,199
39,11743,False,red,201,201
40,11801,False,red,204,204
41,11821,False,red,205,205
42,11911,False,red,211,211
43,11946,False,red,214,214
44,1197,False,red,215,215
45,12093,False,red,219,219
46,12321,False,red,224,224
47,12466,False,red,231,231
48,12573,False,red,244,244
49,12584,False,red,245,245
50,12632,False,red,249,249
51,12633,False,red,250,250
52,12702,False,red,255,255
53,12746,False,red,258,258
54,12810,False,red,260,260
55,12844,False,red,262,262
56,12847,False,red,263,263
57,12863,False,red,264,264
58,12995,False,red,270,270
59,13022,False,red,271,271
60,13047,False,red,272,272
61,13050,False,red,273,273
62,13081,False,red,277,277
63,13082,False,red,278,278
64,13112,False,red,279,279
65,13163,False,red,282,282
66,13268,False,red,290,290
67,13310,False,red,291,291
68,13325,False,red,293,293
69,13365,False,red,296,296
70,13477,False,red,302,302
71,13507,False,red,303,303
72,13624,False,red,310,310
73,13630,False,red,312,312
74,13678,False,red,315,315
75,13694,False,red,317,317
76,13700,False,red,319,319
77,13787,False,red,327,327
78,13796,False,red,330,330
79,13907,False,red,338,338
80,13945,False,red,340,340
81,14006,False,red,343,343
82,14063,False,red,347,347
83,14068,False,red,348,348
84,14083,False,red,351,351
85,14151,False,red,354,354
86,14198,False,red,356,356
87,14306,False,red,368,368
88,14314,False,red,370,370
89,1436,False,red,376,376
90,1438,False,red,377,377
91,14405,False,red,380,380
92,14581,False,red,392,392
93,14586,False,red,394,394
94,14660,False,red,399,399
95,14721,False,red,405,405
96,14757,False,red,408,408
97,14801,False,red,411,411
98,14808,False,red,413,413
99,14858,False,red,417,417
100,14909,False,red,423,423
101,14919,False,red,424,424
102,14922,False,red,425,425
103,14978,False,red,427,427
104,15027,False,red,431,431
105,15031,False,red,432,432
106,15069,False,red,434,434
107,15156,False,red,441,441
108,15168,False,red,443,443
109,15280,False,red,449,449
110,15463,False,red,455,455
111,1547,False,red,456,456
112,15527,False,red,460,460
113,15582,False,red,465,465
114,15622,False,red,467,467
115,15646,False,red,468,468
116,15732,False,red,475,475
117,15754,False,red,477,477
118,15902,False,red,486,486
119,15955,False,red,492,492
120,16040,False,red,495,495
121,16147,False,red,500,500
122,16172,False,red,503,503
123,16185,False,red,504,504
124,16196,False,red,506,506
125,16216,False,red,509,509
126,16239,False,red,512,512
127,16290,False,red,515,515
128,16345,False,red,521,521
129,16406,False,red,526,526
130,16418,False,red,527,527
131,16421,False,red,528,528
132,16440,False,red,529,529
133,16501,False,red,537,537
134,16521,False,red,538,538
135,16551,False,red,542,542
136,1697,False,red,551,551
137,17248,False,red,552,552
138,17265,False,red,553,553
139,17299,False,red,554,554
140,17329,False,red,555,555
141,17359,False,red,556,556
142,17382,False,red,557,557
143,17432,False,red,559,559
144,17828,False,red,560,560
145,18138,False,red,569,569
146,18161,False,red,570,570
147,18449,False,red,574,574
148,18513,False,red,575,575
149,18843,False,red,581,581
150,18861,False,red,583,583
151,18976,False,red,584,584
152,1907,False,red,586,586
153,19428,False,red,596,596
154,19729,False,red,599,599
155,19767,False,red,602,602
156,19884,False,red,604,604
157,1991,False,red,606,606
